cluster_id,size,share,median_probability,mean_outlier_score,intra_cluster_cosine,representative_customer_message_ids
185,332,0.0035633405244121026,0.528259393200581,0.37399271949224205,0.567733108997345,1735165;835810;21418;1227286;69811;9786;986078;836892
186,110,0.0011806248725461784,0.9155795526365458,0.0931474178233445,0.568631649017334,1213335;1354493;279208;206930;1662622;2903482;562883;2319020
187,70,0.0007513067370748409,0.9387829679887467,0.16070176944492034,0.5289115905761719,535162;307917;1497318;833922;1868769;1770173;320885;619245
188,30,0.00032198860160350323,1.0,0.0,0.5804486274719238,1046680;1681736;91300;2297429;715452;584589;306609;622421
189,864,0.009273271726180893,1.0,0.25348307760989147,0.5387231111526489,1617270;77353;467408;67540;829492;167875;128054;1449093
190,273,0.0029300962745918793,0.472443422393234,0.428590590129472,0.6521478295326233,159521;1296268;1124088;478477;1539909;2549519;2791873;1480139
191,76,0.0008157044573955416,0.8726944818558648,0.20513521083825056,0.6872600317001343,927588;1905605;33248;605167;2884904;2448261;2260735;907016
192,69,0.0007405737836880575,1.0,0.017605803311509155,0.6822716593742371,2416111;179612;2576957;11593;1326895;2437254;2721717;559882
193,263,0.002822766740724045,0.6714087113425334,0.28247829120581147,0.6493953466415405,1309600;77339;1359047;765789;63874;347916;2618124;480300
194,46,0.0004937158557920383,1.0,0.0032281074509323995,0.6451073884963989,191603;2871647;1474779;334890;1079403;453272;538606;538502
195,352,0.003777999592147771,0.9832722399801112,0.22197433689734372,0.5589872598648071,1537553;968621;361015;567561;1347633;91441;567551;307887
196,48,0.0005151817625656051,1.0,0.02774168701114903,0.6731393337249756,1953352;1734578;334012;2304434;1561943;2220948;1659007;332423
197,369,0.00396045979972309,0.6943721848872835,0.28650985833302545,0.4167085587978363,1631312;2944369;1369569;2849026;67492;1445452;2889221;2752024
198,410,0.004400510888581211,0.6081522116402319,0.367265776362036,0.47081464529037476,358803;286253;2094066;189246;465801;1452912;1144134;434455
199,55,0.0005903124362730892,1.0,0.05567129835509891,0.5959925651550293,2469391;431628;21102;2166562;1117989;1021043;1332117;304567
200,157,0.0016850736817250003,0.8127778203123566,0.1836429807437659,0.6474617123603821,854372;348547;1126127;1501809;318618;876300;2633009;96846
201,214,0.0022968520247716563,0.5589591441005759,0.38911915171860395,0.7025445103645325,2292929;2882507;972719;348669;227841;331959;2863467;814332
202,329,0.0035311416642517524,0.9298277494552202,0.17692202038909843,0.5185896158218384,976789;253968;1511952;834857;153626;276430;2832933;1674840
